Category,Query,Answer
Contracts,Can you explain how you contracts control requirement 36?,"Customer contracts include confidentiality, data protection, security obligations, breach notification commitments, and applicable service level agreements."
Logging,How do you logging control requirement 37?,"We maintain documented logging processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Monitoring,What is your approach to monitoring control requirement 38?,"We maintain documented monitoring processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Physical,Describe how you physical control requirement 39?,"Physical access to facilities is restricted using badge access, visitor management, CCTV, environmental monitoring, and periodic access reviews."
Privacy,Can you explain how you privacy control requirement 40?,"We maintain documented privacy processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Governance,How do you governance control requirement 41?,"We maintain documented governance processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
IAM,What is your approach to iam control requirement 42?,"We maintain documented iam processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Cloud Security,Describe how you cloud security control requirement 43?,"Cloud resources are protected using least privilege IAM, network segmentation, secure configuration baselines, continuous monitoring, vulnerability management, and infrastructure-as-code reviews."
AWS Controls,Can you explain how you aws controls control requirement 44?,"AWS security services such as IAM, KMS, CloudTrail, Config, GuardDuty, Security Hub, WAF, Shield, and VPC controls are used where appropriate to protect workloads and monitor compliance."
Category,How do you encryption control requirement 45?,Sensitive data is encrypted at rest using AES-256 and in transit using TLS 1.2 or higher. Encryption keys are managed through a centralized KMS with strict access controls and auditing.
BYOK,What is your approach to byok control requirement 46?,"Customers may use Customer Managed Keys (CMKs) through cloud KMS where supported. Data encryption keys are wrapped with the customer-managed key, and key rotation follows the cloud provider's versioning model."
Category,Describe how you tenant isolation control requirement 47?,"Customer data is logically segregated using tenant identifiers enforced at the application, API, and database layers. Cross-tenant access is prevented through authorization checks. Dedicated physical environments can be provided for customers with strict isolation requirements, subject to commercial agreement."
Web Security,Can you explain how you web security control requirement 48?,"We maintain documented web security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
API Security,How do you api security control requirement 49?,"We maintain documented api security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Network Security,What is your approach to network security control requirement 50?,"We maintain documented network security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
BCP,Describe how you bcp control requirement 51?,"We maintain documented bcp processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
DR,Can you explain how you dr control requirement 52?,"We maintain documented dr processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Risk,How do you risk control requirement 53?,"We maintain documented risk processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Change,What is your approach to change control requirement 54?,"We maintain documented change processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Vendor,Describe how you vendor control requirement 55?,"We maintain documented vendor processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Contracts,Can you explain how you contracts control requirement 56?,"Customer contracts include confidentiality, data protection, security obligations, breach notification commitments, and applicable service level agreements."
Logging,How do you logging control requirement 57?,"We maintain documented logging processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Monitoring,What is your approach to monitoring control requirement 58?,"We maintain documented monitoring processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Physical,Describe how you physical control requirement 59?,"Physical access to facilities is restricted using badge access, visitor management, CCTV, environmental monitoring, and periodic access reviews."
Privacy,Can you explain how you privacy control requirement 60?,"We maintain documented privacy processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Governance,How do you governance control requirement 61?,"We maintain documented governance processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
IAM,What is your approach to iam control requirement 62?,"We maintain documented iam processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Cloud Security,Describe how you cloud security control requirement 63?,"Cloud resources are protected using least privilege IAM, network segmentation, secure configuration baselines, continuous monitoring, vulnerability management, and infrastructure-as-code reviews."
AWS Controls,Can you explain how you aws controls control requirement 64?,"AWS security services such as IAM, KMS, CloudTrail, Config, GuardDuty, Security Hub, WAF, Shield, and VPC controls are used where appropriate to protect workloads and monitor compliance."
Category,How do you encryption control requirement 65?,Sensitive data is encrypted at rest using AES-256 and in transit using TLS 1.2 or higher. Encryption keys are managed through a centralized KMS with strict access controls and auditing.
BYOK,What is your approach to byok control requirement 66?,"Customers may use Customer Managed Keys (CMKs) through cloud KMS where supported. Data encryption keys are wrapped with the customer-managed key, and key rotation follows the cloud provider's versioning model."
Category,Describe how you tenant isolation control requirement 67?,"Customer data is logically segregated using tenant identifiers enforced at the application, API, and database layers. Cross-tenant access is prevented through authorization checks. Dedicated physical environments can be provided for customers with strict isolation requirements, subject to commercial agreement."
Web Security,Can you explain how you web security control requirement 68?,"We maintain documented web security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
API Security,How do you api security control requirement 69?,"We maintain documented api security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Network Security,What is your approach to network security control requirement 70?,"We maintain documented network security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
BCP,Describe how you bcp control requirement 71?,"We maintain documented bcp processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
DR,Can you explain how you dr control requirement 72?,"We maintain documented dr processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Risk,How do you risk control requirement 73?,"We maintain documented risk processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Change,What is your approach to change control requirement 74?,"We maintain documented change processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Vendor,Describe how you vendor control requirement 75?,"We maintain documented vendor processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Contracts,Can you explain how you contracts control requirement 76?,"Customer contracts include confidentiality, data protection, security obligations, breach notification commitments, and applicable service level agreements."
Logging,How do you logging control requirement 77?,"We maintain documented logging processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Monitoring,What is your approach to monitoring control requirement 78?,"We maintain documented monitoring processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Physical,Describe how you physical control requirement 79?,"Physical access to facilities is restricted using badge access, visitor management, CCTV, environmental monitoring, and periodic access reviews."
Privacy,Can you explain how you privacy control requirement 80?,"We maintain documented privacy processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Governance,How do you governance control requirement 81?,"We maintain documented governance processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
IAM,What is your approach to iam control requirement 82?,"We maintain documented iam processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Cloud Security,Describe how you cloud security control requirement 83?,"Cloud resources are protected using least privilege IAM, network segmentation, secure configuration baselines, continuous monitoring, vulnerability management, and infrastructure-as-code reviews."
AWS Controls,Can you explain how you aws controls control requirement 84?,"AWS security services such as IAM, KMS, CloudTrail, Config, GuardDuty, Security Hub, WAF, Shield, and VPC controls are used where appropriate to protect workloads and monitor compliance."
Category,How do you encryption control requirement 85?,Sensitive data is encrypted at rest using AES-256 and in transit using TLS 1.2 or higher. Encryption keys are managed through a centralized KMS with strict access controls and auditing.
BYOK,What is your approach to byok control requirement 86?,"Customers may use Customer Managed Keys (CMKs) through cloud KMS where supported. Data encryption keys are wrapped with the customer-managed key, and key rotation follows the cloud provider's versioning model."
Category,Describe how you tenant isolation control requirement 87?,"Customer data is logically segregated using tenant identifiers enforced at the application, API, and database layers. Cross-tenant access is prevented through authorization checks. Dedicated physical environments can be provided for customers with strict isolation requirements, subject to commercial agreement."
Web Security,Can you explain how you web security control requirement 88?,"We maintain documented web security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
API Security,How do you api security control requirement 89?,"We maintain documented api security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Network Security,What is your approach to network security control requirement 90?,"We maintain documented network security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
BCP,Describe how you bcp control requirement 91?,"We maintain documented bcp processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
DR,Can you explain how you dr control requirement 92?,"We maintain documented dr processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Risk,How do you risk control requirement 93?,"We maintain documented risk processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Change,What is your approach to change control requirement 94?,"We maintain documented change processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Vendor,Describe how you vendor control requirement 95?,"We maintain documented vendor processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Contracts,Can you explain how you contracts control requirement 96?,"Customer contracts include confidentiality, data protection, security obligations, breach notification commitments, and applicable service level agreements."
Logging,How do you logging control requirement 97?,"We maintain documented logging processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Monitoring,What is your approach to monitoring control requirement 98?,"We maintain documented monitoring processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Physical,Describe how you physical control requirement 99?,"Physical access to facilities is restricted using badge access, visitor management, CCTV, environmental monitoring, and periodic access reviews."
Privacy,Can you explain how you privacy control requirement 100?,"We maintain documented privacy processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Governance,How do you governance control requirement 101?,"We maintain documented governance processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
IAM,What is your approach to iam control requirement 102?,"We maintain documented iam processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Cloud Security,Describe how you cloud security control requirement 103?,"Cloud resources are protected using least privilege IAM, network segmentation, secure configuration baselines, continuous monitoring, vulnerability management, and infrastructure-as-code reviews."
AWS Controls,Can you explain how you aws controls control requirement 104?,"AWS security services such as IAM, KMS, CloudTrail, Config, GuardDuty, Security Hub, WAF, Shield, and VPC controls are used where appropriate to protect workloads and monitor compliance."
Category,How do you encryption control requirement 105?,Sensitive data is encrypted at rest using AES-256 and in transit using TLS 1.2 or higher. Encryption keys are managed through a centralized KMS with strict access controls and auditing.
BYOK,What is your approach to byok control requirement 106?,"Customers may use Customer Managed Keys (CMKs) through cloud KMS where supported. Data encryption keys are wrapped with the customer-managed key, and key rotation follows the cloud provider's versioning model."
Category,Describe how you tenant isolation control requirement 107?,"Customer data is logically segregated using tenant identifiers enforced at the application, API, and database layers. Cross-tenant access is prevented through authorization checks. Dedicated physical environments can be provided for customers with strict isolation requirements, subject to commercial agreement."
Web Security,Can you explain how you web security control requirement 108?,"We maintain documented web security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
API Security,How do you api security control requirement 109?,"We maintain documented api security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Network Security,What is your approach to network security control requirement 110?,"We maintain documented network security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
BCP,Describe how you bcp control requirement 111?,"We maintain documented bcp processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
DR,Can you explain how you dr control requirement 112?,"We maintain documented dr processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Risk,How do you risk control requirement 113?,"We maintain documented risk processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Change,What is your approach to change control requirement 114?,"We maintain documented change processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Vendor,Describe how you vendor control requirement 115?,"We maintain documented vendor processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Contracts,Can you explain how you contracts control requirement 116?,"Customer contracts include confidentiality, data protection, security obligations, breach notification commitments, and applicable service level agreements."
Logging,How do you logging control requirement 117?,"We maintain documented logging processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Monitoring,What is your approach to monitoring control requirement 118?,"We maintain documented monitoring processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Physical,Describe how you physical control requirement 119?,"Physical access to facilities is restricted using badge access, visitor management, CCTV, environmental monitoring, and periodic access reviews."
Privacy,Can you explain how you privacy control requirement 120?,"We maintain documented privacy processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Governance,How do you governance control requirement 121?,"We maintain documented governance processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
IAM,What is your approach to iam control requirement 122?,"We maintain documented iam processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Cloud Security,Describe how you cloud security control requirement 123?,"Cloud resources are protected using least privilege IAM, network segmentation, secure configuration baselines, continuous monitoring, vulnerability management, and infrastructure-as-code reviews."
AWS Controls,Can you explain how you aws controls control requirement 124?,"AWS security services such as IAM, KMS, CloudTrail, Config, GuardDuty, Security Hub, WAF, Shield, and VPC controls are used where appropriate to protect workloads and monitor compliance."
Category,How do you encryption control requirement 125?,Sensitive data is encrypted at rest using AES-256 and in transit using TLS 1.2 or higher. Encryption keys are managed through a centralized KMS with strict access controls and auditing.
BYOK,What is your approach to byok control requirement 126?,"Customers may use Customer Managed Keys (CMKs) through cloud KMS where supported. Data encryption keys are wrapped with the customer-managed key, and key rotation follows the cloud provider's versioning model."
Category,Describe how you tenant isolation control requirement 127?,"Customer data is logically segregated using tenant identifiers enforced at the application, API, and database layers. Cross-tenant access is prevented through authorization checks. Dedicated physical environments can be provided for customers with strict isolation requirements, subject to commercial agreement."
Web Security,Can you explain how you web security control requirement 128?,"We maintain documented web security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
API Security,How do you api security control requirement 129?,"We maintain documented api security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Network Security,What is your approach to network security control requirement 130?,"We maintain documented network security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
BCP,Describe how you bcp control requirement 131?,"We maintain documented bcp processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
DR,Can you explain how you dr control requirement 132?,"We maintain documented dr processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Risk,How do you risk control requirement 133?,"We maintain documented risk processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Change,What is your approach to change control requirement 134?,"We maintain documented change processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Vendor,Describe how you vendor control requirement 135?,"We maintain documented vendor processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Contracts,Can you explain how you contracts control requirement 136?,"Customer contracts include confidentiality, data protection, security obligations, breach notification commitments, and applicable service level agreements."
Logging,How do you logging control requirement 137?,"We maintain documented logging processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Monitoring,What is your approach to monitoring control requirement 138?,"We maintain documented monitoring processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Physical,Describe how you physical control requirement 139?,"Physical access to facilities is restricted using badge access, visitor management, CCTV, environmental monitoring, and periodic access reviews."
Privacy,Can you explain how you privacy control requirement 140?,"We maintain documented privacy processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Governance,How do you governance control requirement 141?,"We maintain documented governance processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
IAM,What is your approach to iam control requirement 142?,"We maintain documented iam processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Cloud Security,Describe how you cloud security control requirement 143?,"Cloud resources are protected using least privilege IAM, network segmentation, secure configuration baselines, continuous monitoring, vulnerability management, and infrastructure-as-code reviews."
AWS Controls,Can you explain how you aws controls control requirement 144?,"AWS security services such as IAM, KMS, CloudTrail, Config, GuardDuty, Security Hub, WAF, Shield, and VPC controls are used where appropriate to protect workloads and monitor compliance."
Category,How do you encryption control requirement 145?,Sensitive data is encrypted at rest using AES-256 and in transit using TLS 1.2 or higher. Encryption keys are managed through a centralized KMS with strict access controls and auditing.
BYOK,What is your approach to byok control requirement 146?,"Customers may use Customer Managed Keys (CMKs) through cloud KMS where supported. Data encryption keys are wrapped with the customer-managed key, and key rotation follows the cloud provider's versioning model."
Category,Describe how you tenant isolation control requirement 147?,"Customer data is logically segregated using tenant identifiers enforced at the application, API, and database layers. Cross-tenant access is prevented through authorization checks. Dedicated physical environments can be provided for customers with strict isolation requirements, subject to commercial agreement."
Web Security,Can you explain how you web security control requirement 148?,"We maintain documented web security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
API Security,How do you api security control requirement 149?,"We maintain documented api security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Network Security,What is your approach to network security control requirement 150?,"We maintain documented network security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
BCP,Describe how you bcp control requirement 151?,"We maintain documented bcp processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
DR,Can you explain how you dr control requirement 152?,"We maintain documented dr processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Risk,How do you risk control requirement 153?,"We maintain documented risk processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Change,What is your approach to change control requirement 154?,"We maintain documented change processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Vendor,Describe how you vendor control requirement 155?,"We maintain documented vendor processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Contracts,Can you explain how you contracts control requirement 156?,"Customer contracts include confidentiality, data protection, security obligations, breach notification commitments, and applicable service level agreements."
Logging,How do you logging control requirement 157?,"We maintain documented logging processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Monitoring,What is your approach to monitoring control requirement 158?,"We maintain documented monitoring processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Physical,Describe how you physical control requirement 159?,"Physical access to facilities is restricted using badge access, visitor management, CCTV, environmental monitoring, and periodic access reviews."
Privacy,Can you explain how you privacy control requirement 160?,"We maintain documented privacy processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Governance,How do you governance control requirement 161?,"We maintain documented governance processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
IAM,What is your approach to iam control requirement 162?,"We maintain documented iam processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
Cloud Security,Describe how you cloud security control requirement 163?,"Cloud resources are protected using least privilege IAM, network segmentation, secure configuration baselines, continuous monitoring, vulnerability management, and infrastructure-as-code reviews."
AWS Controls,Can you explain how you aws controls control requirement 164?,"AWS security services such as IAM, KMS, CloudTrail, Config, GuardDuty, Security Hub, WAF, Shield, and VPC controls are used where appropriate to protect workloads and monitor compliance."
Category,How do you encryption control requirement 165?,Sensitive data is encrypted at rest using AES-256 and in transit using TLS 1.2 or higher. Encryption keys are managed through a centralized KMS with strict access controls and auditing.
BYOK,What is your approach to byok control requirement 166?,"Customers may use Customer Managed Keys (CMKs) through cloud KMS where supported. Data encryption keys are wrapped with the customer-managed key, and key rotation follows the cloud provider's versioning model."
Category,Describe how you tenant isolation control requirement 167?,"Customer data is logically segregated using tenant identifiers enforced at the application, API, and database layers. Cross-tenant access is prevented through authorization checks. Dedicated physical environments can be provided for customers with strict isolation requirements, subject to commercial agreement."
Web Security,Can you explain how you web security control requirement 168?,"We maintain documented web security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
API Security,How do you api security control requirement 169?,"We maintain documented api security processes aligned with industry best practices. Controls are periodically reviewed, monitored, and improved based on risk assessments, audits, and business requirements."
